idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad
5101,OCA E-O(LAGUNA-GTA. EJERCITO),512102,166,10,20,0,1500,S,1715,"436917,392533534","4471113,96768379",
5102,OCA O-E(GTA. EJERCITO-LAGUNA),962504,169,1,12,0,1500,N,1715,"436928,016304075","4471112,76758873",
5105,OCA S-N (GRAL.RICARDOS-PL.ALMODOVAR),511902,466,7,36,1,1500,N,1715,"437737,30539627","4471228,84397897",
5108,HALCÓN S-N (VENCEJO - DR. URQUIOLA),512003,127,6,14,0,1500,S,1715,"436966,044176025","4471044,63022443",
5110,VIA CARPETANA N-S(LUIS FEITO-GTA. EJERCITO),512101,85,1,3,0,3000,N,1715,"436819,857387662","4471183,45318278",
5115,NTRA SRA VALVANERA N-S (ACEUCHAL-OCA),511904,254,21,34,1,1500,N,1715,"437557,058243167","4471331,20672827",
5118,ZAIDA E-O(TORTOLA-N.SRA.VALVANERA),511901,254,9,24,0,1500,N,1715,"437625,301351959","4471347,78252321",
5119,LAGUNA S-N (VENCEJO - DR. URQUIOLA),512006,0,0,0,0,1000,N,1715,"437012,983352589","4471038,81681351",
5120,PSO. MARCELINO CAMACHO O-E(EULALIA GIL-CASTROJERIZ),511701,254,4,20,0,1500,N,1715,"437086,150718665","4470881,12144803",
5121,PSO. MARCELINO CAMACHO ENTRE GRAL.RICARDOS Y CASTROJERIZ SENTIDO SE-NO,511703,296,5,24,0,1500,N,1715,"437174,868584157","4470783,81115458",
5122,PSO. MARCELINO CAMACHO E-O(CASTROJERIZ-LAGUNA),962803,169,2,13,0,1500,N,1715,"437085,034604172","4470887,48346876",
3481,CASTROJERIZ SENTIDO NE-SO,511702,85,1,7,0,1500,N,1715,"437162,366918767","4470874,2372894",
5123,VIA CARPETANA ENTRE CASIMIRO ESCUDERO Y LUIS FEITO SENTIDO S-N,511803,90,0,6,0,1500,N,1712,"436910,3335458","4471382,07025059",
5124,VIA CARPETANA ENTRE LEÓN V Y L.FEITO N-S,511801,135,0,9,0,1500,N,1712,"436917,079508909","4471403,21492506",
5132,AV.ABRANTES S-N(AV.POBLADOS-BESOLLA),581803,206,1,15,0,1500,N,1741,"437603,282834481","4469671,72962317",
5133,AV.ABRANTES N-S(PL.VULCANO-BESOLLA),581801,250,2,10,0,3000,N,1741,"437706,947995402","4469791,31155394",
5134,BESOLLA O-E(CALLE ANCIU-AV.ABRANTES),581802,103,1,8,0,1500,N,1741,"437596,361996135","4469787,82324612",
5135,AV.DE ABRANTES ENTRE CONDE Y FARO,581303,103,1,8,0,1500,N,1741,"438238,641763789","4470319,46358054",
5136,AV. DE ABRANTES N-S ENTRE PELÍCANO Y ARGÜESO,581301,154,3,13,0,1500,N,1741,"438344,185605106","4470434,19358961",
5137,AV.DE ABRANTES S-N ENTRE PELÍCANO Y PORTALEGRE,581103,103,1,8,0,1500,N,1741,"438477,372495041","4470568,07827796",
5138,AV.DE ABRANTES N-S ENTRE BRAGANZA Y PORTALEGRE,581101,51,1,4,0,2000,N,1741,"438646,719087316","4470680,35286808",
5139,PORTALEGRE O-E ENTRE OPORTO Y ABRANTES,581104,0,0,0,0,3200,N,1741,"438562,31259801","4470700,15797041",
5140,FARO E-O ENTRE VÍA LUSITANA Y ABRANTES,581302,309,3,24,0,1400,N,1741,"438377,184286232","4470303,03505185",
5141,Cº VIEJO DE LEGANES N-S,582203,51,1,4,0,1600,N,1744,"437756,7968325","4470016,7016574",
